,title,desc,content,keywords
0,New York City Mandates Vaccines for Its Workers to ‘End the Covid Era',"Mayor Bill de Blasio says 46,000 unvaccinated city workers must get a coronavirus shot by November or lose their paychecks.","Gregory Floyd, president of Teamsters Local 237, which represents approximately 7,400 employees in the public housing system, where just six in 10 workers are vaccinated, said he believes many worker… [+1725 chars]","['#Gregory', '#Floyd', '#president', '#Teamsters', '#Local']"
1,Experts Call for U.S. Vaccination Push as Colder Months Loom,Experts say that steady inoculation rates are crucial to avoid a winter coronavirus surge. San Francisco is easing some mask restrictions for vaccinated people.,"LiveUpdated Oct. 8, 2021, 5:56 a.m. ET
Oct. 8, 2021, 5:56 a.m. ET
Experts say that steady inoculation rates are crucial to avoid a winter coronavirus surge. San Francisco is easing some mask restri… [+9850 chars]","['#Oct.', '#a.m.', '#ET', '#LiveUpdated', '#Experts']"
2,The State of the Pandemic,What can the U.S. expect from the coronavirus this fall? And what do we know about booster shots and a possible new treatment?,"Apoorva Mandavilli contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Lariss… [+737 chars]","['#Apoorva', '#Mandavilli', '#contributed', '#reporting', '#Daily']"
3,How a Vaccine Mandate Could Worsen a Shortage of Home Care Aides,"Some 250,000 home health care workers must get the coronavirus vaccine by Friday, but tens of thousands of them have yet to receive it.","JASA, an organization serving older adults in New York City, said that its staff members had rushed to be vaccinated this week after an all-out push by the agency. Among its 660 home health aides, so… [+4283 chars]","['#JASA', '#organization', '#serving', '#adults', '#New']"
4,"The Music Lost to Coronavirus, Part 3","Remembering Jacob Desvarieux, John Davis and Chucky Thompson.","This past summer, it briefly seemed as if the worst of the coronavirus might be behind us. But despite some encouraging signs like the concert business amping up again the pandemics landscape continu… [+1147 chars]","['#summer', '#coronavirus', '#signs', '#concert', '#business']"
5,Rikers Death Pushes Toll in N.Y.C. Jails to 13 This Year,"The man who died contracted the coronavirus while awaiting trial on weapons charges after being unable to post $100,000 bail, his lawyer said.","Mr. Mercados brother, Ray Rivera, 65, said that his family could not raise enough money for his bail and was reeling from their loss. 
We didnt want him to die in there, Mr. Rivera said. Im crushed.… [+1828 chars]","['#Mr.', '#Rivera', '#said', '#Mercados', '#brother']"
6,Bolsonaro's Pandemic Handling Draws Explosive Allegation: Homicide,A long-awaited report from a panel of Brazilian senators concludes that Jair Bolsonaro purposely let the coronavirus kill Brazilians in a failed bid for herd immunity.,"The committee was scheduled to release the report on Wednesday and then vote on it a week later. The group of seven opposition senators generally agree on the report, Mr. Calheiros said, suggesting t… [+1906 chars]","['#report', '#committee', '#scheduled', '#release', '#Wednesday']"
7,"Turn Empty N.Y.C. Hotels Into Permanent Housing for Homeless, Adams Says",Thousands of rooms in hotels shuttered by the coronavirus pandemic would become “supportive housing” under a plan announced by New York’s likely next mayor.,"He was not clear about whether there was any overlap between his plan and those that the current mayor, Bill de Blasio, and the former governor of New York, Andrew M. Cuomo, have already begun to bui… [+1359 chars]","['#overlap', '#plan', '#mayor', '#Bill', '#de']"
8,New Jersey Election Seen as Test of Coronavirus Mandates,The New Jersey’s governor contest is one of the first statewide elections to measure how voters now feel about strict coronavirus mandates.,"Still, along the Jersey Shore in Ocean County, where Mr. Trump won by nearly 30 points, it remains easy to find anti-mask yard signs that read Free the Smiles. And across the state some local board o… [+1472 chars]","['#Jersey', '#Shore', '#Ocean', '#County', '#Mr.']"
9,"Live Performance Is Back, With New Rituals Joining the Old Ones",Seeing theater these days can involve waiting in lines to show proof of vaccination and getting rapid coronavirus tests for young children. Many fans seem undeterred.,"They made it in: Reached after the performance, Spino said checkers had let Nicholas attend Stomp with proof of a negative rapid test he had taken earlier in the day.
At some shows, adults who have … [+1492 chars]","['#Reached', '#performance', '#Spino', '#said', '#checkers']"
10,"Please, Everyone, a Moment of Silence for These Antivax Cops Who Ragequit Their Jobs","On Tuesday, around a dozen former Washington State Patrol (WSP) troopers laid their boots and uniform hats on the steps of the Washington State Capitol in memory of those troopers lost to the coronavirus pandemic. Read more...","On Tuesday, around a dozen former Washington State Patrol (WSP) troopers laid their boots and uniform hats on the steps of the Washington State Capitol in memory of those troopers lost to the coronav… [+6505 chars]","['#Washington', '#State', '#troopers', '#Tuesday', '#dozen']"
11,How Black Churches Are Encouraging Vaccines in New York,"More than 80 percent of adults in New York City have received at least one dose of the coronavirus vaccine, but there are significant racial disparities in the vaccination rate.","Among Black New Yorkers, only 48 percent of those between 18 and 44 have gotten at least one dose of the vaccine, compared with roughly 60 percent of those 45 and older, according to city data.
 Gen… [+3935 chars]","['#percent', '#Black', '#New', '#Yorkers', '#gotten']"
12,"U.S. Open Stars Fall at Indian Wells, Which Struggles to Draw a Crowd","The tournament, the first major sporting event canceled because of the coronavirus pandemic in March 2020, was moved to October for its return, but attendance is down by half and atmosphere is lacking.","The decision to require vaccination of all spectators may have limited the overall numbers while reassuring some fans. When we saw everybody was going to be vaccinated, we definitely felt better abou… [+1456 chars]","['#decision', '#require', '#vaccination', '#spectators', '#limited']"
13,Texas Man Is Sentenced to 15 Months for Online Covid-19 Hoax,"Christopher Charles Perez, 40, wrote on Facebook last year that he had paid someone who was infected with the coronavirus to lick groceries at a San Antonio supermarket, federal prosecutors said.","Im sure the judge was intending to send a message to people who would be involved in like hoaxes, which is important, said Ms. Gertner, now a lecturer at Harvard Law School. The question is whether h… [+1544 chars]","['#m', '#judge', '#intending', '#send', '#message']"
14,Italy Imposes Mandate for Workers to Boost Covid Vaccination,"In the most sweeping mandate put in place by a Western democracy, Italy on Friday began requiring all workers to either be vaccinated or take a coronavirus test every two days.",Italy set a new bar on Friday for major Western democracies seeking to move beyond the pandemic by putting in place a sweeping law that requires the nations entire work force public and private to ha… [+7844 chars],"['#Italy', '#set', '#bar', '#Friday', '#democracies']"
15,Coronavirus in DR Congo: How funds went missing - report,"Dodgy accounting and unofficial bonuses plague the nation's virus response, says the Congo Research Group.","Image caption, The study says one hospital charged $2.9m (£2.1m) for the care of just 266 coronavirus patients (library photo)
Missing money, opaque pay practices and poor management hamper the coro… [+2897 chars]","['#Image', '#caption', '#study', '#says', '#hospital']"
16,Russia's reports record-high daily COVID-19 infections - Reuters,"Russia reported 34,303 cases of new coronavirus infections in the past 24 hours, a record-high number since the start of the pandemic, data from the state coronavirus task force showed on Sunday.","A medical specialist walks by an ambulance outside a hospital for patients infected with the coronavirus disease (COVID-19) in Moscow, Russia October 6, 2021. REUTERS/Maxim ShemetovMOSCOW, Oct 17 (Re… [+792 chars]","['#specialist', '#walks', '#ambulance', '#hospital', '#patients']"
17,Two studies suggest that newer variants of the coronavirus are better at traveling through the air.,,"Daily Covid Briefing
Oct. 2, 2021Updated Oct. 2, 2021, 11:10 a.m. ET
Oct. 2, 2021, 11:10 a.m. ET
By Apoorva Mandavilli
Newer variants of the coronavirus like Alpha and Delta are highly contagious… [+19282 chars]","['#Oct.', '#a.m.', '#ET', '#Daily', '#Covid']"
18,"Getting flu with Covid makes you twice as likely to die, says UK health chief","Both flu and Covid-19 will circulate for first time this winter, warns head of UK Health Security Agency<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>People who catch flu and Covid at the same time this winter are twic…","People who catch flu and Covid at the same time this winter are twice as likely to die than those who only have coronavirus, according to the UK Health Security Agency chief executive, Dr Jenny Harri… [+2991 chars]","['#People', '#catch', '#flu', '#Covid', '#time']"
19,What you need to know about the coronavirus right now - Reuters,What you need to know about the coronavirus right now  Reuters,"Staff members cheer after shooting confetti in the air to celebrate the re-opening of SEA LIFE Sydney Aquarium to visitors, following an extended closure due to coronavirus disease (COVID-19) lockdow… [+3939 chars]","['#Staff', '#members', '#cheer', '#shooting', '#confetti']"
20,What you need to know about the coronavirus right now - Reuters,What you need to know about the coronavirus right now  Reuters,"A lone woman, wearing a protective face mask, walks across a city centre bridge as the state of Victoria looks to curb the spread of a coronavirus disease (COVID-19) outbreak in Melbourne, Australia,… [+3811 chars]","['#woman', '#wearing', '#face', '#mask', '#walks']"
21,What you need to know about the coronavirus right now - Reuters,What you need to know about the coronavirus right now  Reuters,"A bus driver in a protective face mask drives through the city centre during a lockdown to curb the spread of a coronavirus disease (COVID-19) in Sydney, Australia, September 30, 2021. REUTERS/Loren … [+3718 chars]","['#bus', '#driver', '#face', '#mask', '#drives']"
22,What you need to know about the coronavirus right now - Reuters,What you need to know about the coronavirus right now  Reuters,People walk through a city park marked with social distancing circles as some restrictions are eased for fully vaccinated residents during a lockdown to curb the spread of a coronavirus disease (COVI… [+3813 chars],"['#People', '#walk', '#city', '#park', '#marked']"
23,What you need to know about the coronavirus right now - Reuters,What you need to know about the coronavirus right now  Reuters,"People wait in line for a coronavirus disease (COVID-19) test at a testing site, temporarily set up at a railway station in Seoul, South Korea, July 7, 2021. REUTERS/ Heo RanOct 6 (Reuters) - Here's … [+3610 chars]","['#People', '#wait', '#line', '#coronavirus', '#disease']"
24,What you need to know about the coronavirus right now - Reuters,What you need to know about the coronavirus right now  Reuters,"People queue to receive COVID-19 vaccines inside Lichfield Cathedral, which has been turned into an emergency vaccination centre, amid the coronavirus disease (COVID-19) outbreak, in Lichfield, in Bi… [+3814 chars]","['#Lichfield', '#People', '#queue', '#receive', '#vaccines']"
25,More than 2 million people in England have had Covid booster jab,"Priorities for third dose of vaccine are those over 50, health and social care workers and anyone with a weakened immune system<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>More than two million people have been given …","More than two million people have been given the coronavirus booster jab in England so far.
Booster jabs are being given at least six months after a second dose.
NHS England said on Saturday that t… [+1560 chars]","['#given', '#England', '#people', '#coronavirus', '#booster']"
26,Covid timeline: the weeks leading up to first UK lockdown,Key dates in the early stages of the coronavirus pandemic in the UK<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>31 December 2019: China alerts the World Health Organization (WHO) to dozens of cases of “viral pneumonia…,"31 December 2019: China alerts the World Health Organization (WHO) to dozens of cases of viral pneumonia in the central city of Wuhan.
11 January 2020: China reports its first death, a 61-year-old m… [+3396 chars]","['#China', '#December', '#alerts', '#World', '#Health']"
27,NHS test sites to open in shopping centres and stadiums in England,Forty ‘one-stop shop’ centres will carry out wide range of health checks after GP referrals<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>NHS tests and scans are to be offered at football stadiums and shopping centres t…,"NHS tests and scans are to be offered at football stadiums and shopping centres to help deal with the backlog caused by the coronavirus pandemic.
The health service is launching 40 one-stop shop dia… [+2678 chars]","['#NHS', '#tests', '#scans', '#offered', '#football']"
28,Covid infection rate in England rises again to one in 60 people,"About 890,000 people in England had coronavirus last week, one in 45 in Wales and one in 80 in Scotland<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>About one in 60 people in England had Covid-19 last week, according t…","About one in 60 people in England had Covid-19 last week, according to estimates published on Friday.
The prevalence of infection was up for a third straight week, having been at about one in 70 the… [+2378 chars]","['#week', '#people', '#England', '#Covid-19', '#according']"
29,Opinion: Alabama's use of Covid relief funds to build prisons must be stopped,"Nearly 60 years after Alabama stood in the national spotlight for its resistance in ending racial segregation in American schools, the state's current governor, Kay Ivey, signed into law earlier this month a string of bills that will use coronavirus relief fu…","Sancia Dalley is senior vice president of strategic partnerships and investor engagement at Robert F. Kennedy Human Rights, an international social justice organization based in Washington, DC. Chris… [+5130 chars]","['#Sancia', '#Dalley', '#vice', '#president', '#partnerships']"
30,Five times as many police officers have died from Covid-19 as from gunfire since start of pandemic,"The coronavirus has become the leading cause of death for officers despite law enforcement being among the first groups eligible to receive the vaccine at the end of 2020. That's 476 Covid-19 related deaths since the start of the pandemic, compared to 93 from…","(CNN)Jessica Desfosses shared the final heartrending text messages she exchanged with her police officer husband in the days before he died from Covid-19. 
""Commercial just came on tv a casket sayin… [+8233 chars]","['#CNN)Jessica', '#Desfosses', '#shared', '#text', '#messages']"
31,Nadhim Zahawi: school pupils may have to wear masks again if Covid cases rise,Education secretary confirms back-up plan for English schools but says he doesn’t want bubbles to return<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Children could be forced to wear masks in schools across England aga…,"Children could be forced to wear masks in schools across England again as part of the governments back-up plan if the countrys Covid situation deteriorates significantly, the education secretary has … [+3065 chars]","['#Children', '#forced', '#wear', '#masks', '#schools']"
32,British Medical Association says ‘time is now’ for Covid plan B,The doctors’ trade union believes not taking action over England’s growing Covid cases is ‘wilfully negligent’<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>The British Medical Association has said the “time is now” for…,"The British Medical Association has said the time is now for the government to enact plan B in England to prevent the NHS being overwhelmed by growing numbers of coronavirus cases.
The doctors trade… [+3972 chars]","['#British', '#Medical', '#Association', '#said', '#time']"
33,Latvia enters month-long Covid lockdown as fourth wave breaks,Former coronavirus success story forced to impose night-time curfew as infections surge<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Latvia has announced a month-long Covid-19 lockdown after an unprecedented surge in i…,"Latvia has announced a month-long Covid-19 lockdown after an unprecedented surge in infections, becoming the first country in Europe to reimpose far-reaching restrictions as countries across the cont… [+3654 chars]","['#Latvia', '#announced', '#month', '#Covid-19', '#lockdown']"
34,Christian TV channel fined by Ofcom over Covid conspiracy theories,"LoveWorld ordered to pay £25,000 after airing misleading statements including claims of 5G ‘cover-up’<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>A Christian TV channel has been fined £25,000 by the UK broadcasting re…","A Christian TV channel has been fined £25,000 by the UK broadcasting regulator for airing misleading and harmful statements about coronavirus, including that the rollout of 5G mobile networks caused … [+2747 chars]","['#TV', '#channel', '#fined', '#UK', '#broadcasting']"
35,Wales draws up emergency Covid plan to stop NHS being overwhelmed,‘Urgent’ plan could mean restrictions – but government says most likely scenario is country will remain at alert level 0<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>The Welsh government has drawn up a “Covid urgent” p…,"The Welsh government has drawn up a Covid urgent plan designed to deal with any new coronavirus crisis that threatens to overwhelm the NHS this autumn and winter.
If the plan has to be brought in, i… [+2913 chars]","['#plan', '#Welsh', '#government', '#drawn', '#Covid']"
36,Italian Covid bereaved want inquiry extended beyond early outbreak,Families say there are lessons to be learned as first Covid cases in 16 European countries came from Italy<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Relatives of coronavirus victims in Italy are pushing for a full p…,Relatives of coronavirus victims in Italy are pushing for a full public inquiry into the governments handling of the pandemic as documents from the European Centre for Disease Prevention and Control … [+4308 chars],"['#Relatives', '#coronavirus', '#victims', '#Italy', '#pushing']"
37,Bereaved families call for acceleration of Covid inquiry after MPs’ report,"Ministers should apologise for poor handling of crisis and loss of lives in pandemic, families say<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Bereaved families have called for the Covid public inquiry to be accelerat…","Bereaved families have called for the Covid public inquiry to be accelerated and for ministers to apologise after a damning report by MPs on the handling of the pandemic.
Dr Cathy Gardner, whose fat… [+4288 chars]","['#families', '#called', '#Covid', '#inquiry', '#accelerated']"
38,"UK Covid cases near 50,000 in one day as No 10 warns of ‘challenging’ winter",Reported number of cases rise steadily in October to reach highest level since 17 July<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Downing Street has warned of “challenging” months ahead as UK coronavirus cases reache…,"Downing Street has warned of challenging months ahead as UK coronavirus cases reached their highest level since mid-July.
The reported number of Covid cases in the UK increased steadily through Octo… [+3063 chars]","['#UK', '#cases', '#Downing', '#Street', '#warned']"
39,The best home COVID-19 tests - CNET,Here's what to know about the best PCR and rapid antigen coronavirus tests you can take at home.,"For the most up-to-date news and information about the coronavirus pandemic, visit the WHO and CDC websites.
As new COVID-19 variants spread around the world, at-home COVID-19 tests are an important… [+9248 chars]","['#COVID-19', '#date', '#news', '#information', '#coronavirus']"
40,Coronavirus report warned of impact on UK four years before pandemic,Exclusive: Report from planning exercise in 2016 alerted government of need to stockpile PPE and set up contact tracing system<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Senior health officials who war-gamed the impa…,"Senior health officials who war-gamed the impact of a coronavirus hitting the UK, warned four years before the onset of Covid-19 of the need for stockpiles of PPE, a computerised contact tracing syst… [+6861 chars]","['#health', '#officials', '#war', '#gamed', '#impact']"
41,What went wrong with the UK’s handling of the Covid pandemic?,A parliamentary report says the initial handling of the coronavirus outbreak was one of the worst public health failures in UK history. Could tens of thousands of deaths have been avoided – and what are the lessons for the future?Nearly 19 months after the co…,"Nearly 19 months after the coronavirus pandemic was declared, a landmark Commons report the first major report looking into the UKs response to coronavirus has been published. The 151-page report, ti… [+1069 chars]","['#report', '#coronavirus', '#months', '#pandemic', '#declared']"
42,"Japan will take necessary steps to support economy, new minister Yamagiwa says - Reuters","Japan's government will take all necessary measures to support the economy, which has been hit hard by the coronavirus pandemic, new economy minister Daishiro Yamagiwa said on Tuesday.","TOKYO, Oct 5 (Reuters) - Japan's government will take all necessary measures to support the economy, which has been hit hard by the coronavirus pandemic, new economy minister Daishiro Yamagiwa said o… [+1071 chars]","['#economy', '#TOKYO', '#Oct', '#Reuters', '#Japan']"
43,Japan Aug household spending seen falling on pandemic hit: Reuters poll - Reuters,"Japan's household spending likely slipped back into contraction in August, when the government expanded emergency curbs to contain the coronavirus, a Reuters poll showed on Friday.","A staff wearing a face shield sells fish at Japan's supermarket group Aeon's shopping mall as the mall reopens amid the coronavirus disease (COVID-19) outbreak in Chiba, Japan May 28, 2020. REUTERS/K… [+2267 chars]","['#Japan', '#mall', '#staff', '#wearing', '#face']"
44,Oil gains as energy demand rises; WTI tops $80 - Reuters,"Oil prices rose on Monday, extending multiweek gains, amid supply restraint from major producers and growing demand for fuels as economies try to recover from the coronavirus pandemic.","Pipelines run to Enbridge Inc.'s crude oil storage tanks at their tank farm in Cushing, Oklahoma, March 24, 2016. REUTERS/Nick OxfordTOKYO, Oct 11 (Reuters) - Oil prices rose on Monday, extending mul… [+1429 chars]","['#Pipelines', '#run', '#Enbridge', '#Inc.', '#oil']"
45,Oil gains as energy demand rises; WTI tops $80 - Reuters.com,"Oil prices rose on Monday, extending multiweek gains, amid supply restraint from major producers and growing demand for fuels as economies try to recover from the coronavirus pandemic.","FILE PHOTO: Pipelines run to Enbridge Inc.'s crude oil storage tanks at their tank farm in Cushing, Oklahoma, March 24, 2016. REUTERS/Nick Oxford
TOKYO (Reuters) - Oil prices rose on Monday, extendi… [+1346 chars]","['#FILE', '#PHOTO', '#Pipelines', '#run', '#Enbridge']"
46,Ex-President Bill Clinton recovering in hospital from infection - Reuters,"Former U.S. President Bill Clinton remained in a California hospital on Friday, where he was recovering from a non-coronavirus infection three days after he was admitted.","ORANGE, Calif., Oct 15 (Reuters) - Former U.S. President Bill Clinton remained in a California hospital on Friday, where he was recovering from a non-coronavirus infection three days after he was adm… [+2137 chars]","['#ORANGE', '#Calif.', '#Oct', '#Reuters', '#U.S.']"
47,"A UK COVID lockdown would be wrong right now, business minister says - Reuters","Another COVID lockdown would be completely wrong right now as Britain is learning to live with the novel coronavirus, Business Secretary Kwasi Kwarteng said on Wednesday.","Workers walk towards Tower Bridge during the morning rush hour, amid a relaxation of lockdown restrictions during the coronavirus disease (COVID-19) pandemic in London, Britain, September 15, 2021. R… [+615 chars]","['#Workers', '#walk', '#Tower', '#Bridge', '#morning']"
48,Poland to make COVID booster shots available to all adults - Reuters,"Poland is planning to make third doses of the coronavirus vaccine available to all adults ""over the next few weeks"", Prime Minister Mateusz Morawiecki said on Wednesday.","A doctor prepares the Pfizer-BioNTech coronavirus disease (COVID-19) vaccine at the University Hospital in Bialystok, Poland January 4, 2021. Agnieszka Sadowska/Agencja Gazeta via REUTERS WARSAW, Oct… [+615 chars]","['#doctor', '#prepares', '#Pfizer', '#BioNTech', '#coronavirus']"
49,"Asian shares slip as Evergrande, inflation worries sap positive mood - Reuters",Asian shares dipped on Monday as concerns about China's property sector and inflation worries offset upbeat U.S. data and positive news on new drugs to fight the coronavirus.,"TOKYO (Reuters) - Asian shares dipped on Monday as concerns about Chinas property sector and inflation worries offset upbeat U.S. data and positive news on new drugs to fight the coronavirus.
FILE P… [+3383 chars]","['#TOKYO', '#Reuters', '#shares', '#dipped', '#Monday']"
50,Jailed former Venezuelan minister dies of COVID-19 - Reuters,"Former Venezuelan Defense Minister and retired general Raul Baduel, considered a political prisoner by the opposition, has died after contracting coronavirus, the attorney general said on Tuesday.","Former general Raul Baduel (C) walks out from his house in Maracay, Venezuela August 13, 2015. REUTERS/Pablo Ramos/File PhotoCARACAS, Oct 12 (Reuters) - Former Venezuelan Defense Minister and retired… [+1338 chars]","['#general', '#Raul', '#Baduel', '#C', '#walks']"
