,title,desc,content,keywords
51,Italian police use water cannon to push back anti-vax protesters in Rome - Reuters,"Italian police on Saturday used water cannon to push back hundreds of people demonstrating in Rome against coronavirus vaccination, seeking to keep them from the prime minister's office.","ROME, Oct 9 (Reuters) - Italian police on Saturday used water cannon to push back hundreds of people demonstrating in Rome against coronavirus vaccination, seeking to keep them from the prime ministe… [+1326 chars]","['#ROME', '#Oct', '#Reuters', '#police', '#Saturday']"
52,Biden's popularity rises slightly as coronavirus cases fall - Reuters,"U.S. President Joe Biden’s approval rating has increased somewhat over the past few weeks, according to Reuters/Ipsos polling, as coronavirus infection rates slowed.","U.S. President Joe Biden gestures upon his arrival at Chicago O'Hare International Airport in Chicago, Illinos, U.S. October 7, 2021. REUTERS/Evelyn Hockstein/File PhotoNEW YORK, Oct 8 (Reuters) - U.… [+1662 chars]","['#U.S.', '#Chicago', '#President', '#Joe', '#Biden']"
53,Russia reports record daily COVID-19 death toll - Reuters,"Russia reported 936 coronavirus-related deaths on Friday, the largest single-day death toll it has recorded since the pandemic began.","People line up to receive vaccine against the coronavirus disease (COVID-19) outside a vaccination centre in the State Department Store, GUM, in central Moscow, Russia June 25, 2021. REUTERS/Shamil Z… [+462 chars]","['#People', '#line', '#receive', '#vaccine', '#coronavirus']"
54,Ukraine daily COVID-19 deaths top 300 for first time since May - Reuters,"The number of daily coronavirus-related deaths in Ukraine topped 300 for the first time since mid-May, health ministry data showed on Tuesday.","People wear protective face masks sit in a bus amid the ongoing coronavirus disease (COVID-19) outbreak in central Kyiv, Ukraine September 29, 2021. REUTERS/Gleb GaranichKYIV, Oct 5 (Reuters) - The n… [+766 chars]","['#People', '#wear', '#face', '#masks', '#sit']"
55,Swiss manufacturers 'purchasing as much as possible' - PMI data - Reuters,"Swiss manufacturers are scrambling to buy what inputs they can as the economy roars back from the depths of the coronavirus pandemic, September PMI data showed on Friday.","By Reuters Staff
ZURICH, Oct 1 (Reuters) - Swiss manufacturers are scrambling to buy what inputs they can as the economy roars back from the depths of the coronavirus pandemic, September PMI data sh… [+935 chars]","['#Reuters', '#Staff', '#ZURICH', '#Oct', '#manufacturers']"
56,"Asian shares wobble as Evergrande, inflation worries hit confidence - Reuters",Asian shares dipped on Monday as concerns about China's property sector and inflation worries offset upbeat U.S. data and positive news on new drugs to fight the coronavirus.,"TOKYO, Oct 4 (Reuters) - Asian shares dipped on Monday as concerns about China's property sector and inflation worries offset upbeat U.S. data and positive news on new drugs to fight the coronavirus.… [+4047 chars]","['#TOKYO', '#Oct', '#Reuters', '#shares', '#dipped']"
57,"Asian shares slip as Evergrande, inflation worries sap positive mood - Reuters",Asian shares dipped on Monday as concerns about China's property sector and inflation worries offset upbeat U.S. data and positive news on new drugs to fight the coronavirus.,"A man watches an electric board showing Nikkei index outside a brokerage at a business district in Tokyo, Japan, June 21, 2021. REUTERS/Kim Kyung-HoonTOKYO, Oct 4 (Reuters) - Asian shares dipped on M… [+3615 chars]","['#man', '#watches', '#board', '#showing', '#Nikkei']"
58,What you need to know about the coronavirus right now - National Post,What you need to know about the coronavirus right now  National Post,"Article content
Heres what you need to know about the coronavirus right now:
Sydney to open to travelers without quarantine
Sydney will allow in fully vaccinated travelers from overseas from Nov. … [+3601 chars]","['#Sydney', '#travelers', '#Article', '#content', '#Heres']"
59,"Tucker to Antivax Rubes: No, Really, I'm One of You!","The lady doth protest too much, methinks: Fox News host Tucker Carlson spent a portion of his show on Monday night reassuring his audience of gullible anti-vaxxers that he is “not pretending at all” to agree with them.Read more...","The lady doth protest too much, methinks: Fox News host Tucker Carlson spent a portion of his show on Monday night reassuring his audience of gullible anti-vaxxers that he is not pretending at all to… [+2930 chars]","['#lady', '#doth', '#protest', '#methinks', '#Fox']"
60,One in six most critically ill patients are unvaccinated pregnant women with Covid,NHS England release statistics after evidence Covid can cause serious problems for mothers-to-be and their babies<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>One in six patients requiring the NHS’s highest form of lif…,"One in six patients requiring the NHSs highest form of life-saving care are unvaccinated pregnant women with Covid, new figures reveal.
Twenty of the 118 patients with Covid who received extra corpo… [+3130 chars]","['#patients', '#Covid', '#requiring', '#NHSs', '#form']"
61,Jeremy Vine ‘unnerved’ after anti-vaccine protesters target his home,Television presenter says group ‘angry’ at BBC reporting on Covid vaccines tried to serve him ‘anti-vaxx writ’<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Television presenter Jeremy Vine has said he was “unnerved” af…,"The television and radio presenter Jeremy Vine has said he was unnerved after anti-vaccine protesters targeted his home.
Vine tweeted that the group tried to serve what it called an anti-vaxx writ w… [+1126 chars]","['#Vine', '#television', '#radio', '#presenter', '#Jeremy']"
62,UK records highest Covid deaths since March,"Spread of infections beyond younger people pushes up hospitalisations and death rates<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>The UK has reported its highest number of Covid deaths for seven months, with 223 death…","The UK has reported its highest number of Covid deaths for seven months, with 223 deaths recorded within 28 days of a positive test for the virus.
The daily death rate, which has not been as high si… [+638 chars]","['#deaths', '#UK', '#reported', '#number', '#Covid']"
63,Why is England driving the rise in UK Covid cases?,"A drop-off in mask wearing and slow uptake of booster jabs are among the reasons for the continuing growth<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Covid cases in the UK are on the rise once more, with 49,156 repor…","Covid cases in the UK are on the rise once more, with 49,156 reported on Monday the highest figure since mid-July. The increase appears to be driven by growing case numbers in England, but what is be… [+6925 chars]","['#Covid', '#cases', '#UK', '#rise', '#reported']"
64,"NHS app proving Covid vaccine status malfunctions, causing travel delays","Issues accessing Covid pass cause traveller to be turned away from flight at Gatwick<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>The NHS app that lets people prove their vaccine status is not working for some users, a…","The NHS app that lets people prove their vaccine status is not working for some users, a problem that could cause havoc for those trying to use it for travel.
An error message when people try to acc… [+700 chars]","['#people', '#NHS', '#app', '#lets', '#prove']"
65,5% of Washington state police personnel don't comply with COVID-19 vaccine mandate,"Only 127 of approximately 2,200 employees of the Washington State Patrol declined to get vaccinated against the coronavirus.","Nearly 95% of the people employed by the Washington state police force have complied with the mandate to get vaccinated against COVID-19, the agency announced Monday.
The Washington State Patrol emp… [+1115 chars]","['#Washington', '#people', '#employed', '#state', '#police']"
66,Leaked Grant Proposal Confirms Chinese and American Scientists Planned to Create Novel Coronavirus,A coronavirus research grant application suggests American and Chinese scientists planned to collaborate on the creation of a new coronavirus.,"A World Health Organization (WHO) collaborator, who reviewed a coronavirus research grant application unearthed last month, confirmed that the language of the documents suggests American and Chinese … [+3876 chars]","['#World', '#Health', '#Organization', '#collaborator', '#reviewed']"
67,"Italy reports 46 coronavirus deaths, 2748 new cases - Reuters","Italy's health ministry on Saturday reported 46 coronavirus-related deaths in the past 24 hours, up from 30 during the prior period, while the daily tally of new infections fell to 2,748 from 3,023.","A tourist shows his ""Green Pass"", a document showing proof of coronavirus disease (COVID-19) immunity, as he enters the Colosseum, in Rome, Italy, September 16, 2021. REUTERS/Yara NardiMILAN, Oct 9 (… [+990 chars]","['#tourist', '#shows', '#Green', '#Pass', '#document']"
68,Philippines loosens coronavirus curbs in capital region - Reuters.com,"The Philippines further loosened coronavirus restrictions in the capital region on Friday, allowing restaurants to accept more guests and gyms to reopen after recording a decline in daily COVID 19 cases.","By Reuters Staff
MANILA (Reuters) - The Philippines further loosened coronavirus restrictions in the capital region on Friday, allowing restaurants to accept more guests and gyms to reopen after rec… [+2020 chars]","['#Reuters', '#Staff', '#MANILA', '#Philippines', '#loosened']"
69,"Italy reports 24 new coronavirus deaths, 2437 new cases - Reuters","Italy reported 24 coronavirus-related deaths on Sunday, up from 14the previous day, the health ministry said, while the daily tally of new infections fell to 2,437 from 2,983.","A health worker administers a COVID-19 vaccine to a patient in Rome, Italy, September 21, 2021. REUTERS/Yara Nardi/File PhotoROME, Oct 17 (Reuters) - Italy reported 24 coronavirus-related deaths on S… [+785 chars]","['#Italy', '#health', '#worker', '#administers', '#COVID-19']"
70,Dutch coronavirus cases jump 44% as hospitals feel strain - Reuters,"New coronavirus infections in the Netherlands jumped 44% in the week through Tuesday, forcing several hospitals in the country to cut back on regular care to deal with a rising number of COVID-19 cases.","Dutch tourists, who will spend a week long holiday in isolation in their tourist resort as part of an experiment, arrive at the Rhodes International Airport, amid the coronavirus disease (COVID-19) o… [+1532 chars]","['#tourists', '#spend', '#week', '#holiday', '#isolation']"
71,Thai digital payments surge from pre-coronavirus level - Reuters,"Digital payments in Thailand have quadrupled from pre-pandemic levels, the central bank said on Monday, as the Southeast Asian country's longest-running wave of infections accelerates demand for online services.","People wearing face masks shop for street food in Chinatown amid the spread of the coronavirus disease (COVID-19) in Bangkok, Thailand, January 6, 2021. REUTERS/Athit PerawongmethaBANGKOK, Oct 11 (Re… [+1083 chars]","['#People', '#wearing', '#face', '#masks', '#shop']"
72,Three detained in Egypt after coronavirus vaccines found dumped - Reuters,Egypt's public prosecution said on Sunday it had ordered the arrest of three people after thousands of unused COVID-19 vaccines were found dumped along a water channel.,"China's Sinovac COVID-19 vaccines produced by VACSERA Co. are seen in Cairo, Egypt July 8, 2021. Picture taken July 8, 2021. REUTERS/Shokry HussienCAIRO, Oct 10 (Reuters) - Egypt's public prosecution… [+1628 chars]","['#Egypt', '#July', '#China', '#Sinovac', '#COVID-19']"
73,5 Top-Ranked Chip ETFs to Gain on Ongoing Supply Crisis,The semiconductor industry continues to be strong amid the coronavirus crisis as increasing inclination toward digitization is driving demand for the semiconductor chips.,The semiconductor market has continuously attracted investors attention as the space sees increasing demand from various sectors. The pandemic times accelerated demand within the space as the stay-at… [+5531 chars],"['#space', '#demand', '#semiconductor', '#market', '#attracted']"
74,Coronavirus: What's happening in Canada and around the world on Monday | CBC News - Flipboard,"<ol><li>Coronavirus: What's happening in Canada and around the world on Monday | CBC News  Flipboard
</li><li>Coronavirus: What's happening in Canada and around the world on Monday  CBC.ca
</li><li>Merck Seeks COVID Pill EUA; Transplant Centers Ban Unvaxxed…","Democrats are ringing alarm bells and coming to the simplest of conclusions: Its the pandemic, stupid. ATLANTA In a focus group last week, Pennsylvania Democrats one after another articulated the iss… [+4 chars]","['#Democrats', '#ringing', '#alarm', '#bells', '#coming']"
75,CDC issues new COVID holiday guidelines after ‘virtual celebrations’ recommendation sparked backlash - WDIV ClickOnDetroit,"<ol><li>CDC issues new COVID holiday guidelines after ‘virtual celebrations’ recommendation sparked backlash  WDIV ClickOnDetroit
</li><li>FACTBOX | Back to school in Sydney: Here's the latest on the worldwide spread of the coronavirus  News24
</li><li>Coro…","DETROIT The CDC issued new holiday guidelines for COVID safety after its previous recommendation for virtual celebrations sparked widespread backlash.
The Centers For Disease Control and Prevention … [+1940 chars]","['#DETROIT', '#CDC', '#issued', '#holiday', '#guidelines']"
76,BC announces 560 new coronavirus cases; 79 in Interior Health - BC News - Castanet.net,BC announces 560 new coronavirus cases; 79 in Interior Health - BC News  Castanet.netView Full coverage on Google News,"The provincial government has announced 560 new coronavirus cases, including 79 in the Interior Health region.
The new cases bring B.C.’s total since the pandemic began to 198,838, although just 4,9… [+1695 chars]","['#cases', '#government', '#announced', '#coronavirus', '#including']"
77,Britain reports 35077 new COVID-19 cases on Monday - Reuters,"Britain on Monday reported 35,077 new daily COVID-19 cases, up from the 30,439 cases reported a day earlier, government statistics showed, with a further 33 deaths within 28 days of a positive coronavirus test result.","A person holds documents as healthcare staff receive the COVID-19 booster vaccine, amid the coronavirus disease (COVID-19) pandemic, at Midland House in Derby, Britain, September 20, 2021. REUTERS/Ca… [+360 chars]","['#COVID-19', '#person', '#holds', '#documents', '#healthcare']"
78,Australia's Delta outbreak spreads to new states - Reuters Australia,"Australia reported more than 1,900 new infections of the Delta coronavirus on Sunday, health data showed, with authorities struggling to quell the outbreak in the two most populous states and cases spreading to new states.","By Reuters Staff
MELBOURNE (Reuters) - Australia reported more than 1,900 new infections of the Delta coronavirus on Sunday, health data showed, with authorities struggling to quell the outbreak in … [+2120 chars]","['#Reuters', '#Staff', '#MELBOURNE', '#Australia', '#reported']"
79,New Zealand reports 27 COVID-19 cases amid anti-lockdown protests - Reuters,"New Zealand officials reported 27 new cases of the highly infectious Delta coronavirus variant in Auckland on Saturday, as protestors took to the streets to rally against an almost two-month lockdown in the country's biggest city.","Oct 2 (Reuters) - New Zealand officials reported 27 new cases of the highly infectious Delta coronavirus variant in Auckland on Saturday, as protestors took to the streets to rally against an almost … [+1881 chars]","['#Oct', '#Reuters', '#New', '#Zealand', '#officials']"
80,"Italy reports 25 coronavirus deaths on Saturday, 3312 new cases - Reuters","Italy reported 25 coronavirus-related deaths on Saturday against 52 the day before, the health ministry said, while the daily tally of new infections fell to 3,312 from 3,405.","A health worker administers the third dose of a coronavirus disease (COVID-19) vaccine to Ivano Arcangeli, a patient deemed to be 'fragile', as vaccinations jump in Italy after the government made in… [+1077 chars]","['#health', '#worker', '#administers', '#dose', '#coronavirus']"
81,Balloons return to New Mexico skies for annual fiesta after pandemic pause - Reuters,"Hundreds of hot air balloons launched into the skies over Albuquerque, New Mexico, on Saturday for the first time in two years, as the city's balloon fiesta returned following a pause due to the coronavirus pandemic.","ALBUQUERQUE, N.M., Oct 2 (Reuters) - Hundreds of hot air balloons launched into the skies over Albuquerque, New Mexico, on Saturday for the first time in two years, as the city's balloon fiesta retur… [+924 chars]","['#ALBUQUERQUE', '#N.M.', '#Oct', '#Reuters', '#Hundreds']"
82,IATA sees sharp fall in airline losses in 2022 - Reuters,"Global airlines on Monday projected a sharp reduction in industry losses next year as a multispeed recovery from the coronavirus crisis gets under way, but revised up the financial toll inflicted by the pandemic in 2020 and 2021.","A passenger plane passes in front of the moon as it makes its final landing approach to Heathrow Airport in London, Britain September 12, 2019. REUTERS/Toby Melville BOSTON, Ma, Oct 4 (Reuters) - Glo… [+804 chars]","['#passenger', '#plane', '#passes', '#moon', '#makes']"
83,Portugal to give booster COVID-19 shot to older adults - Reuters,"Portugal will give a third dose of the coronavirus vaccine to people aged 65 and older from next week, starting with the most vulnerable groups, such as care home residents and those over 80 years old.","A man receives a dose of AstraZeneca's coronavirus disease (COVID-19) vaccine, as Portugal resumes vaccination with AstraZeneca shots after a temporary suspension, at a vaccination centre in Seixal, … [+1304 chars]","['#AstraZeneca', '#vaccination', '#man', '#receives', '#dose']"
84,Spain's COVID-19 rate at 'low risk' level for first time in 15 months - Reuters,"Spain's coronavirus incidence dropped below 50 cases per 100,000 people on Thursday, reaching the threshold considered ""low risk"" by the Health Ministry for the first time in over a year.","Nurses prepare syringes with doses of the Moderna vaccine against the coronavirus disease (COVID-19) at a vaccination centre in Meloneras on the island of Gran Canaria, Spain, July 28, 2021. REUTERS/… [+1254 chars]","['#Nurses', '#prepare', '#syringes', '#doses', '#Moderna']"
85,Japan household spending falls on persistent COVID-19 pressure - Reuters,"Japan's household spending fell 3.0% in August from a year earlier, government data showed on Friday, as state of emergency curbs to combat the coronavirus pandemic weighed on consumption during the summer holiday season.","TOKYO, Oct 8 (Reuters) - Japan's household spending fell 3.0% in August from a year earlier, government data showed on Friday, as state of emergency curbs to combat the coronavirus pandemic weighed o… [+1680 chars]","['#TOKYO', '#Oct', '#Reuters', '#Japan', '#household']"
86,Germany does not expect extra covid curbs this winter - minister - Reuters,"Germany does not expect to have to impose any further coronavirus-related restrictions this autumn and over the coming winter, since the vaccination rate is higher than previously thought, Health Minister Jens Spahn said on Thursday.","German Health Minister Jens Spahn addresses a press conference on the situation of flu vaccines and the coronavirus disease (COVID-19) pandemic, in Berlin, Germany October 6, 2021. Odd Andersen/Pool … [+843 chars]","['#Health', '#Minister', '#Jens', '#Spahn', '#addresses']"
87,Canada's current COVID-19 surge could decline in coming weeks - health official - Reuters,"OTTAWA (Reuters) - Canada's latest COVID-19 wave could decline in the coming weeks with increasing numbers of Canadians now vaccinated against the coronavirus, a top medical official said on Friday, citing longer-term forecasts.","Baristas serve customers at a Second Cup coffee shop franchise in Toronto's PATH, the world's biggest underground shopping mall that runs under the city's major downtown office buildings, in Toronto,… [+1966 chars]","['#Toronto', '#Baristas', '#serve', '#customers', '#Second']"
88,ECB governors expect friction with governments as end of support looms - Reuters,"The European Central Bank must think about the exit from monetary and fiscal support deployed during the coronavirus pandemic even if that displeases governments, three of its policymakers said on Friday.","By Reuters Staff
STRBSKE PLESO, Slovakia (Reuters) - The European Central Bank must think about the exit from monetary and fiscal support deployed during the coronavirus pandemic even if that disple… [+2532 chars]","['#Reuters', '#Staff', '#STRBSKE', '#PLESO', '#Slovakia']"
89,Russia says at least 49389 people died from COVID-19 in Aug - Reuters,"At least 49,389 people died in Russia in August due to the coronavirus and related causes, taking the toll to around 418,000 people since the pandemic began, state statistic service Rosstat said on Friday.","Grave diggers wearing personal protective equipment (PPE) as a preventive measure against the coronavirus disease (COVID-19) bury a person at a graveyard on the outskirts of Saint Petersburg, Russia … [+1540 chars]","['#Grave', '#diggers', '#wearing', '#equipment', '#PPE']"
90,"Proposal to allow Chileans to draw down pensions would hurt business climate, group says - Reuters",An association of U.S. businesses in Chile warned on Tuesday that a proposal to allow Chileans to draw money from their pension funds for the fourth time since the coronavirus pandemic began could seriously harm the country's business climate.,"SANTIAGO, Oct 5 (Reuters) - An association of U.S. businesses in Chile warned on Tuesday that a proposal to allow Chileans to draw money from their pension funds for the fourth time since the coronav… [+1890 chars]","['#SANTIAGO', '#Oct', '#Reuters', '#association', '#U.S.']"
91,Factbox: How COVID-19 in Southeast Asia is threatening global supply chains - Reuters,"Fresh coronavirus outbreaks in Southeast Asia have hurt factory activity across industries, threatening the region's recovery from the COVID-19 pandemic and disrupting global supplies of goods such as apparels, automobiles, and electronics.","SINGAPORE, Oct 6 (Reuters) - Fresh coronavirus outbreaks in Southeast Asia have hurt factory activity across industries, threatening the region's recovery from the COVID-19 pandemic and disrupting gl… [+4554 chars]","['#SINGAPORE', '#Oct', '#Reuters', '#coronavirus', '#outbreaks']"
92,"Italy reports 33 coronavirus deaths on Sunday, 2968 new cases - Reuters","Italy reported 33 coronavirus-related deaths on Sunday against 25 the day before, the health ministry said, while the daily tally of new infections fell to 2,968 from 3,312.","A health worker administers the third dose of a coronavirus disease (COVID-19) vaccine to Ivano Arcangeli, a patient deemed to be 'fragile', as vaccinations jump in Italy after the government made in… [+1045 chars]","['#health', '#worker', '#administers', '#dose', '#coronavirus']"
93,UPDATE 1-China's soft Golden Week data bode ill for retail sales - Reuters,"Tourism revenues in China during the Golden Week holiday that ended on Thursday fell by almost 5% year-on-year, state media reported, while lingering coronavirus curbs also saw a decline in the total number of trips undertaken.","By Reuters Staff
(Adds analyst comments)
BEIJING, Oct 8 (Reuters) - Tourism revenues in China during the Golden Week holiday that ended on Thursday fell by almost 5% year-on-year, state media repor… [+2252 chars]","['#Reuters', '#year', '#Staff', '#Adds', '#analyst']"
94,China's soft Golden Week data bode ill for retail sales - Reuters,"Tourism revenues in China during the Golden Week holiday that ended on Thursday fell by almost 5% year-on-year, state media reported, while lingering coronavirus curbs also saw a decline in the total number of trips undertaken.","BEIJING, Oct 8 (Reuters) - Tourism revenues in China during the Golden Week holiday that ended on Thursday fell by almost 5% year-on-year, state media reported, while lingering coronavirus curbs also… [+2316 chars]","['#year', '#BEIJING', '#Oct', '#Reuters', '#Tourism']"
95,Russia's COVID-19 deaths hit new one-day record high - Reuters,"Russia on Tuesday reported 895 new COVID-19 deaths, the most recorded in a single day since the pandemic began, as well as 25,110 new coronavirus cases in the last 24 hours.","A medical specialist wearing protective gear transports a person on a stretcher at a hospital for patients infected with COVID-19, on the outskirts of Moscow, Russia July 2, 2021. REUTERS/Tatyana Mak… [+542 chars]","['#specialist', '#wearing', '#gear', '#transports', '#person']"
96,"Romania daily COVID-19 cases at record high, exceed 15000 - Reuters","The number of new coronavirus infections in Romania exceeded 15,000 in the past 24 hours and there were no available intensive care beds on Tuesday, the government said, as the country grapples with the EU's second-lowest vaccination rate.","People wait in line to receive a COVID-19 vaccine at a mobile vaccination center in Bucharest, Romania, June 11, 2021. Inquam Photos/Octav Ganea via REUTERS BUCHAREST, Oct 5 (Reuters) - The number of… [+706 chars]","['#People', '#wait', '#line', '#receive', '#COVID-19']"
97,"Romania introduces restrictions to stem COVID-19 case rise, boost vaccine intakes - Reuters","Romania's centrist minority government introduced new progressive restrictions late on Thursday to stem a rise in new coronavirus infections, including making mask wearing mandatory outside, but opted to keep schools open.","An intensive care unit (ICU) doctor and nurse, wearing Personal Protective Equipment (PPE) assist a coronavirus disease (COVID-19) patient at Marius Nasta Institute of Pneumology in Bucharest, Romani… [+1736 chars]","['#care', '#unit', '#ICU', '#doctor', '#nurse']"
98,Cuba aims to fully inoculate 90% of residents against COVID-19 by December - Reuters,"Cuba is speeding up its COVID-19 vaccination program as it aims to fully inoculate 90% of its population against the coronavirus by December, an ambitious goal that has yet to be reached by even wealthier nations.","HAVANA, Oct 1 (Reuters) - Cuba is speeding up its COVID-19 vaccination program as it aims to fully inoculate 90% of its population against the coronavirus by December, an ambitious goal that has yet … [+3883 chars]","['#HAVANA', '#Oct', '#Reuters', '#Cuba', '#speeding']"
99,"Asian factories stagnate as China's slowdown, supply constraints hit - Reuters UK","Asia's manufacturing activity was lacklustre in September as signs of slowing Chinese growth and factory shutdowns caused by the coronavirus pandemic weighed on the region's economies, surveys showed on Friday.",TOKYO (Reuters) - Asias manufacturing activity was lacklustre in September as signs of slowing Chinese growth and factory shutdowns caused by the coronavirus pandemic weighed on the regions economies… [+2069 chars],"['#TOKYO', '#Reuters', '#manufacturing', '#activity', '#September']"
